device_id,timestamp_utc,timestamp_uganda,battery_voltage,field2,humidity_percent,motion_counts,temperature_celsius,motion_status,work_mode,frame_counter,rssi,raw_payload,source_file,file_last_modified
lht65n-01-temp-humidity-sensor,2025-09-20T18:33:39.788472573Z,2025-09-20T18:33:39.788472573Z,3.084,3,67.6,12616,25.69,Activity,PIR Sensor,1456,-66,zAwKCQKkDgEAMUg=,processed_2025-09-20_20-27-58.json,2025-09-20T20:27:59+00:00
lht65n-01-temp-humidity-sensor,2025-09-20T18:39:21.916096054Z,2025-09-20T18:39:21.916096054Z,3.085,3,67.3,12622,25.72,Activity,PIR Sensor,1457,-51,zA0KDAKhDgEAMU4=,processed_2025-09-20_20-27-58.json,2025-09-20T20:27:59+00:00
lht65n-01-temp-humidity-sensor,2025-09-20T18:43:07.303643367Z,2025-09-20T18:43:07.303643367Z,3.084,3,67.1,12625,25.71,Activity,PIR Sensor,1458,-51,zAwKCwKfDgEAMVE=,processed_2025-09-20_20-27-58.json,2025-09-20T20:27:59+00:00
lht65n-01-temp-humidity-sensor,2025-09-20T18:45:49.038228011Z,2025-09-20T18:45:49.038228011Z,3.085,3,67.3,12629,25.69,Activity,PIR Sensor,1459,-67,zA0KCQKhDgEAMVU=,processed_2025-09-20_20-27-58.json,2025-09-20T20:27:59+00:00
lht65n-01-temp-humidity-sensor,2025-09-20T18:48:03.435177960Z,2025-09-20T18:48:03.435177960Z,3.083,3,67.3,12640,25.68,Activity,PIR Sensor,1460,-66,zAsKCAKhDgEAMWA=,processed_2025-09-20_20-27-58.json,2025-09-20T20:27:59+00:00
lht65n-01-temp-humidity-sensor,2025-09-20T18:50:21.037831915Z,2025-09-20T18:50:21.037831915Z,3.084,3,65.7,12658,25.69,Activity,PIR Sensor,1461,-68,zAwKCQKRDgEAMXI=,processed_2025-09-20_20-27-58.json,2025-09-20T20:27:59+00:00
lht65n-01-temp-humidity-sensor,2025-09-20T18:52:34.493580922Z,2025-09-20T18:52:34.493580922Z,3.084,3,65.8,12667,25.69,No activity,PIR Sensor,1462,-65,zAwKCQKSDgAAMXs=,processed_2025-09-20_20-27-58.json,2025-09-20T20:27:59+00:00
lht65n-01-temp-humidity-sensor,2025-09-20T18:55:46.591730427Z,2025-09-20T18:55:46.591730427Z,3.084,3,65.8,12668,25.71,Activity,PIR Sensor,1463,-65,zAwKCwKSDgEAMXw=,processed_2025-09-20_20-27-58.json,2025-09-20T20:27:59+00:00
lht65n-01-temp-humidity-sensor,2025-09-20T19:12:24.118317846Z,2025-09-20T19:12:24.118317846Z,3.085,3,65.4,12671,25.68,Activity,PIR Sensor,1464,-64,zA0KCAKODgEAMX8=,processed_2025-09-20_20-27-58.json,2025-09-20T20:27:59+00:00
lht65n-01-temp-humidity-sensor,2025-09-20T19:14:30.681430026Z,2025-09-20T19:14:30.681430026Z,3.083,3,65.4,12676,25.71,Activity,PIR Sensor,1465,-49,zAsKCwKODgEAMYQ=,processed_2025-09-20_20-27-58.json,2025-09-20T20:27:59+00:00
lht65n-01-temp-humidity-sensor,2025-09-20T19:22:34.010546814Z,2025-09-20T19:22:34.010546814Z,3.084,3,65.0,12678,25.69,No activity,PIR Sensor,1466,-49,zAwKCQKKDgAAMYY=,processed_2025-09-20_20-27-58.json,2025-09-20T20:27:59+00:00
lht65n-01-temp-humidity-sensor,2025-09-20T19:52:33.444920054Z,2025-09-20T19:52:33.444920054Z,3.083,3,64.6,12684,25.68,No activity,PIR Sensor,1468,-66,zAsKCAKGDgAAMYw=,processed_2025-09-20_20-27-58.json,2025-09-20T20:27:59+00:00
lht65n-01-temp-humidity-sensor,2025-09-20T20:22:32.924330509Z,2025-09-20T20:22:32.924330509Z,3.083,3,64.5,12684,25.54,No activity,PIR Sensor,1469,-65,zAsJ+gKFDgAAMYw=,processed_2025-09-20_20-27-58.json,2025-09-20T20:27:59+00:00
lht65n-01-temp-humidity-sensor,2025-09-20T20:25:15.425440621Z,2025-09-20T20:25:15.425440621Z,3.085,3,64.4,12685,25.57,Activity,PIR Sensor,1470,-66,zA0J/QKEDgEAMY0=,processed_2025-09-20_20-27-58.json,2025-09-20T20:27:59+00:00
lht65n-01-temp-humidity-sensor,2025-09-20T20:27:48.637653055Z,2025-09-20T20:27:48.637653055Z,3.083,3,64.4,12688,25.57,Activity,PIR Sensor,1471,-50,zAsJ/QKEDgEAMZA=,processed_2025-09-20_20-27-58.json,2025-09-20T20:27:59+00:00
lht65n-01-temp-humidity-sensor,2025-09-20T18:33:39.788472573Z,2025-09-20T18:33:39.788472573Z,3.084,3,67.6,12616,25.69,Activity,PIR Sensor,1456,-66,zAwKCQKkDgEAMUg=,processed_2025-09-20_20-29-50.json,2025-09-20T20:29:52+00:00
lht65n-01-temp-humidity-sensor,2025-09-20T18:39:21.916096054Z,2025-09-20T18:39:21.916096054Z,3.085,3,67.3,12622,25.72,Activity,PIR Sensor,1457,-51,zA0KDAKhDgEAMU4=,processed_2025-09-20_20-29-50.json,2025-09-20T20:29:52+00:00
